name,id,title,description,coding,polarity
Antonin,ny-daily-news,"Adams, during trip to Israel, urges Netanyahu to attend Mamdani inauguration despite arrest threat","With less than two months to go in his term, Mayor Adams met with Israeli...",Political Interaction,Neutral
Antonin,ny-daily-news,Mamdani says he wants to meet with Trump for good of NYC,"Trump suggested Sunday that Mamdani had already agreed he ""would like to meet"" with Trump...",Political Interaction,Neutral
Antonin,ny-daily-news,Mamdani weighs in on NYC legislative race where drawing ‘the fire of the Israeli lobby’ a key issue,"Fresh off of his mayoral election victory, democratic socialist Zohran Mamdani is already weighing in...",Opinion,Positive
Antonin,ny-daily-news,Zohran Mamdani and funding for the arts,The race for mayor of New York City is over — and what a race...,Policy,Neutral
Antonin,ny-daily-news,Zohran Mamdani and NYC’s Jews: What kind of Jewish community do we want to be?,"In the most Jewish city in America, it’s no surprise that Jews played central roles...",Opinion,Neutral
Antonin,ny-daily-news,Zohran Mamdani and NYC’s Jews: Conceding the election but not the concern,"For many New Yorkers, Election Day was cause for celebration: the anticipation of a new...",Social Response,Positive
Antonin,ny-daily-news,Mamdani’s property tax challenge: The new mayor should fix the long-standing unfair mess,"If the new mayor, Zohran Mamdani, can solve New York City's unfair property tax puzzle,...",Policy,Positive
Antonin,ny-daily-news,"Mamdani, Tisch could clash over proactive policing , legality of NYPD stops",The latest report from the federal monitor overseeing civil rights compliance at the NYPD points...,Political Interaction,Neutral
Antonin,ny-daily-news,"Ahead of Mamdani taking office, Mayor Adams makes changes in NYC response to mental health calls","Under the changes, NYC Health + Hospitals, which currently operates the program with FDNY, would...",Social Response,Neutral
Antonin,ny-daily-news,"Mamdani, Hochul prep for possibility of troops, funding cuts if Trump moves on NYC","For months, Trump has threatened to cut federal funding for New York and potentially boost...",Social Response,Negative
Antonin,ny-daily-news,Advocates urge NYC schools request pause on class-size caps before Mamdani takes office,"The coalition behind the public plea — Educators 4 Excellence, Robin Hood, and EdTrust-New York...",Social Response,Negative
Antonin,ny-daily-news,NYC Council backs Mamdani push for increased childcare funding from Albany,"The Council, under the leadership of outgoing Speaker Adrienne Adams, unveiled its reasoning in a...",Policy,Positive
Antonin,ny-daily-news,Mamdani rips Mayor Adams for making Elizabeth St. Garden housing project ‘nearly impossible’,"Mayor-elect Zohran Mamdani, in a departure from his typically optimistic outlook, said Thursday it will...",Policy,Neutral
Antonin,ny-daily-news,Steer clear: Zohran Mamdani would be smart to stay out of Council speaker race,Zohran Mamdani should stay out of and stay away from the contest to elect the...,Opinion,Negative
Antonin,ny-daily-news,"Mamdani eyeing DOT veterans, including ‘Vision Zero’ czar, for Transportation commissioner","Ryan Russo and Nivardo Lopez, two veterans of the department with deep experience in street...",Policy,Negative
Antonin,ny-daily-news,"Readers sound off on fear of Mamdani, the NESE pipeline and DNA’s discoverer","Manhattan: Last month, The News reported on a poll of American Jews. Sixty-one percent thought...",Social Response,Positive
Antonin,ny-daily-news,"Mamdani taps ex-de Blasio deputy, campaign manger as top City Hall aides","The appointments of Fuleihan, a 74-year-old de Blasio administration alum, and Bisgaard-Church, a 34-year-old member...",Election,Neutral
